x,y,s,d
0,0,0,0
0.157467,0.157447,0.222678,0
0.314895,0.314738,0.445218,0
0.472244,0.471717,0.667482,0
0.629477,0.628228,0.889333,0
0.786553,0.784116,1.11063,0
0.943435,0.939227,1.33125,0
1.10008,1.09341,1.55104,0
1.25646,1.2465,1.76988,0
1.41252,1.39836,1.98764,0
1.56823,1.54883,2.20417,0
1.72356,1.69776,2.41936,0
1.87845,1.84501,2.63308,0
2.03288,1.99044,2.84521,0
2.18681,2.13388,3.05561,0
2.3402,2.27521,3.26418,0
2.493,2.41429,3.4708,0
2.64519,2.55097,3.67535,0
2.79672,2.68511,3.87773,0
2.94755,2.8166,4.07783,0
3.09766,2.94529,4.27555,0
3.24699,3.07106,4.47079,0
3.39553,3.19379,4.66347,0
3.54322,3.31335,4.85348,0
3.69003,3.42962,5.04076,0
3.83593,3.54249,5.22522,0
3.98087,3.65184,5.40679,0
4.12483,3.75758,5.58541,0
4.26776,3.85958,5.76101,0
4.40964,3.95776,5.93354,0
4.55043,4.05202,6.10296,0
4.69008,4.14225,6.26923,0
4.82857,4.22838,6.43232,0
4.96587,4.31031,6.59221,0
5.10193,4.38797,6.74887,0
5.23673,4.46127,6.90231,0
5.37023,4.53015,7.05254,0
5.5024,4.59454,7.19955,0
5.6332,4.65437,7.34339,0
5.76261,4.70958,7.48408,0
5.89059,4.76013,7.62168,0
6.0171,4.80595,7.75624,0
6.14213,4.847,7.88783,0
6.26563,4.88325,8.01654,0
6.38758,4.91465,8.14247,0
6.50794,4.94118,8.26572,0
6.62669,4.96281,8.38643,0
6.7438,4.97952,8.50472,0
6.85923,4.99128,8.62075,0
6.97297,4.9981,8.73469,0
7.08497,4.99996,8.84671,0
7.19522,4.99686,8.957,0
7.30368,4.98881,9.06577,0
7.41034,4.9758,9.17321,0
7.51515,4.95786,9.27955,0
7.6181,4.93501,9.38501,0
7.71917,4.90726,9.48981,0
7.81831,4.87464,9.59419,0
7.91552,4.83719,9.69836,0
8.01077,4.79494,9.80256,0
8.10403,4.74793,9.90699,0
8.19528,4.69621,10.0119,0
8.2845,4.63984,10.1174,0
8.37166,4.57887,10.2238,0
8.45675,4.51335,10.3312,0
8.53974,4.44336,10.4397,0
8.62062,4.36896,10.5496,0
8.69935,4.29022,10.661,0
8.77593,4.20723,10.7739,0
8.85033,4.12007,10.8885,0
8.92254,4.02883,11.0049,0
8.99254,3.93358,11.1231,0
9.0603,3.83444,11.2432,0
9.12582,3.73149,11.3652,0
9.18908,3.62484,11.4892,0
9.25005,3.51459,11.6152,0
9.30874,3.40086,11.7431,0
9.36511,3.28376,11.8731,0
9.41917,3.1634,12.0051,0
9.47088,3.0399,12.1389,0
9.52025,2.91339,12.2747,0
9.56726,2.78399,12.4124,0
9.61189,2.65182,12.5519,0
9.65414,2.51703,12.6932,0
9.694,2.37974,12.8361,0
9.73146,2.24009,12.9807,0
9.7665,2.09821,13.1269,0
9.79912,1.95426,13.2745,0
9.82931,1.80837,13.4234,0
9.85706,1.66068,13.5737,0
9.88236,1.51135,13.7252,0
9.90522,1.36052,13.8777,0
9.92562,1.20834,14.0313,0
9.94356,1.05496,14.1857,0
9.95903,0.90053,14.3409,0
9.97204,0.745211,14.4968,0
9.98257,0.589153,14.6532,0
9.99062,0.43251,14.81,0
9.9962,0.275439,14.9672,0
9.9993,0.118094,15.1246,0
9.99992,-0.0393679,15.282,0
9.99806,-0.196791,15.4395,0
9.99372,-0.354018,15.5968,0
9.98691,-0.510895,15.7538,0
